P,K,C,val_acc,delta,source
4,8000,0.0005,0.7552,-0.013399999999999967,phase_b
4,8000,0.001,0.7598,-0.008799999999999919,phase_b
4,8000,0.002,0.7664,-0.0021999999999999797,phase_b
4,8000,0.003,0.7686,0.0,run07_C0.003
5,4000,0.0005,0.754,-0.01880000000000004,phase_b
5,4000,0.001,0.7616,-0.011199999999999988,phase_b
5,4000,0.002,0.7712,-0.0016000000000000458,phase_b
5,4000,0.003,0.7728,0.0,run07_C0.003
5,8000,0.0005,0.7684,-0.01100000000000001,phase_b
5,8000,0.001,0.7746,-0.0048000000000000265,phase_b
5,8000,0.002,0.7768,-0.0025999999999999357,phase_b
5,8000,0.003,0.7794,0.0,run07_C0.003
6,2400,0.0005,0.7496,-0.025599999999999956,phase_b
6,2400,0.001,0.7608,-0.014399999999999968,phase_b
6,2400,0.002,0.773,-0.0021999999999999797,phase_b
6,2400,0.003,0.7752,0.0,run07_C0.003
6,4000,0.0005,0.7614,-0.017199999999999993,phase_b
6,4000,0.001,0.7694,-0.009199999999999986,phase_b
6,4000,0.002,0.778,-0.0005999999999999339,phase_b
6,4000,0.003,0.7786,0.0,run07_C0.003
6,6000,0.0005,0.7706,-0.007400000000000073,phase_b
6,6000,0.001,0.7752,-0.0028000000000000247,phase_b
6,6000,0.002,0.7754,-0.0026000000000000467,phase_b
6,6000,0.003,0.778,0.0,run07_C0.003
6,8000,0.0005,0.7806,-0.0052000000000000934,phase_b
6,8000,0.001,0.7848,-0.0010000000000000009,phase_b
6,8000,0.002,0.784,-0.0018000000000000238,phase_b
6,8000,0.003,0.7858,0.0,run07_C0.003
7,1600,0.0005,0.7448,-0.025399999999999978,phase_b
7,1600,0.001,0.756,-0.01419999999999999,phase_b
7,1600,0.002,0.764,-0.006199999999999983,phase_b
7,1600,0.003,0.7702,0.0,run07_C0.003
7,4000,0.0005,0.769,-0.013399999999999967,phase_b
7,4000,0.001,0.7774,-0.0050000000000000044,phase_b
7,4000,0.002,0.7814,-0.0010000000000000009,phase_b
7,4000,0.003,0.7824,0.0,run07_C0.003
7,6000,0.0005,0.779,-0.0020000000000000018,phase_b
7,6000,0.001,0.782,0.0010000000000000009,phase_b
7,6000,0.002,0.7876,0.006599999999999939,phase_b
7,6000,0.003,0.781,0.0,run07_C0.003
7,8000,0.0005,0.7776,0.0023999999999999577,phase_b
7,8000,0.001,0.7798,0.0046000000000000485,phase_b
7,8000,0.002,0.7764,0.0011999999999999789,phase_b
7,8000,0.003,0.7752,0.0,run07_C0.003
8,2400,0.0005,0.7544,-0.01980000000000004,phase_b
8,2400,0.001,0.7626,-0.011600000000000055,phase_b
8,2400,0.002,0.7714,-0.0028000000000000247,phase_b
8,2400,0.003,0.7742,0.0,run07_C0.003
8,3200,0.0005,0.767,-0.014599999999999946,phase_b
8,3200,0.001,0.7746,-0.007000000000000006,phase_b
8,3200,0.002,0.7784,-0.0031999999999999806,phase_b
8,3200,0.003,0.7816,0.0,run07_C0.003
8,4000,0.0005,0.7654,-0.0048000000000000265,phase_b
8,4000,0.001,0.7708,0.0006000000000000449,phase_b
8,4000,0.002,0.7736,0.0033999999999999586,phase_b
8,4000,0.003,0.7702,0.0,run07_C0.003
8,6000,0.0005,0.7756,0.0005999999999999339,phase_b
8,6000,0.001,0.7786,0.0035999999999999366,phase_b
8,6000,0.002,0.7752,0.00019999999999997797,phase_b
8,6000,0.003,0.775,0.0,run07_C0.003
8,8000,0.0005,0.7708,0.020600000000000063,phase_b
8,8000,0.001,0.7632,0.013000000000000012,phase_b
8,8000,0.002,0.7542,0.0040000000000000036,phase_b
8,8000,0.003,0.7502,0.0,run07_C0.003
