P,K,baseline,phase_b_best,phase_b_best_C,delta
4,8000,0.7686,0.7664,0.002,-0.0021999999999999797
5,4000,0.7728,0.7712,0.002,-0.0016000000000000458
5,8000,0.7794,0.7768,0.002,-0.0025999999999999357
6,2400,0.7752,0.773,0.002,-0.0021999999999999797
6,4000,0.7786,0.778,0.002,-0.0005999999999999339
6,6000,0.778,0.7754,0.002,-0.0026000000000000467
6,8000,0.7858,0.7848,0.001,-0.0010000000000000009
7,1600,0.7702,0.764,0.002,-0.006199999999999983
7,4000,0.7824,0.7814,0.002,-0.0010000000000000009
7,6000,0.781,0.7876,0.002,0.006599999999999939
7,8000,0.7752,0.7798,0.001,0.0046000000000000485
8,2400,0.7742,0.7714,0.002,-0.0028000000000000247
8,3200,0.7816,0.7784,0.002,-0.0031999999999999806
8,4000,0.7702,0.7736,0.002,0.0033999999999999586
8,6000,0.775,0.7786,0.001,0.0035999999999999366
8,8000,0.7502,0.7708,0.0005,0.020600000000000063
