P,K,C,val_acc,delta_sota
4,400,0.003,0.6996,-0.06820000000000004
4,400,0.005,0.7038,-0.06400000000000006
4,400,0.01,0.7088,-0.05900000000000005
4,400,0.02,0.7122,-0.05559999999999998
4,400,0.03,0.7138,-0.05400000000000005
4,800,0.003,0.7192,-0.04860000000000009
4,800,0.005,0.7244,-0.043399999999999994
4,800,0.01,0.7288,-0.039000000000000035
4,800,0.02,0.7324,-0.03539999999999999
4,800,0.03,0.7348,-0.03300000000000003
4,1200,0.003,0.733,-0.03480000000000005
4,1200,0.005,0.7378,-0.030000000000000027
4,1200,0.01,0.7392,-0.02860000000000007
4,1200,0.02,0.7422,-0.025600000000000067
4,1200,0.03,0.7428,-0.025000000000000022
4,1600,0.003,0.7442,-0.023600000000000065
4,1600,0.005,0.7474,-0.020400000000000085
4,1600,0.01,0.7478,-0.020000000000000018
4,1600,0.02,0.7502,-0.01760000000000006
4,1600,0.03,0.749,-0.01880000000000004
4,2000,0.003,0.7444,-0.023400000000000087
4,2000,0.005,0.7476,-0.020199999999999996
4,2000,0.01,0.7518,-0.016000000000000014
4,2000,0.02,0.7486,-0.019199999999999995
4,2000,0.03,0.749,-0.01880000000000004
4,2400,0.003,0.7478,-0.020000000000000018
4,2400,0.005,0.7528,-0.015000000000000013
4,2400,0.01,0.7546,-0.01319999999999999
4,2400,0.02,0.7498,-0.018000000000000016
4,2400,0.03,0.7474,-0.020400000000000085
4,3200,0.003,0.7518,-0.016000000000000014
4,3200,0.005,0.7574,-0.010400000000000076
4,3200,0.01,0.756,-0.011800000000000033
4,3200,0.02,0.7492,-0.01860000000000006
4,3200,0.03,0.7458,-0.02200000000000002
4,4000,0.003,0.764,-0.0038000000000000256
4,4000,0.005,0.7646,-0.0032000000000000917
4,4000,0.01,0.7632,-0.0046000000000000485
4,4000,0.02,0.7598,-0.008000000000000007
4,4000,0.03,0.7536,-0.01419999999999999
4,6000,0.003,0.7652,-0.0026000000000000467
4,6000,0.005,0.7666,-0.0012000000000000899
4,6000,0.01,0.7622,-0.005600000000000049
